5299446330400,529944691037,
5299446671475,529944724310,
5299447000488,529944753425,
5299447330394,529944784070,
5299447671216,529944816163,
5299448000431,529944846070,
5299448330503,529944878487,
5299448671325,529944913415,
5299449000537,529944945869,
5299449330512,529944979592,
5299449671298,529945014679,
5299450000525,529945046225,
5299450330500,529945079667,
5299450671395,529945112688,
5299451000447,529945146643,
5299451330540,529945179106,
5299451671223,529945212586,
5299452000432,529945246040,
5299452330564,529945280137,
5299452671438,529945313940,
5299453000544,529945348105,
5299453330426,529945381043,
5299453671329,529945414403,
5299454000653,529945446938,
5299454330423,529945480236,
5299454671224,529945514079,
5299455000490,529945546501,
5299455330429,529945580384,
5299455671242,529945613946,
5299456000427,529945646749,
5299456330529,529945679227,
5299456671324,529945713349,
5299457000533,529945745771,
5299457330530,529945779617,
5299457671346,529945814627,
5299458000437,529945846249,
5299458330548,529945879178,
5299458671409,529945913302,
5299459000624,529945945832,
5299459330539,529945979171,
5299459671228,529946013888,
5299460000534,529946045963,
5299460330540,529946079986,
5299460671223,529946113800,
5299461000625,529946147460,
5299461330552,529946181052,
5299461671238,529946213050,
5299462000438,529946246002,
5299462330794,529946280773,
5299462671377,529946313926,
5299463000447,529946346107,
5299463330595,529946379496,
5299463671426,529946413350,
5299464000547,529946445919,
5299464330547,529946479081,
5299464671224,529946514043,
5299465000439,529946548127,
5299465330571,529946580856,
5299465671236,529946612970,
5299466000430,529946645854,
5299466330538,529946679985,
5299466671366,529946714371,
5299467000780,529946746298,
5299467330451,529946780271,
5299467671258,529946813885,
5299468000654,529946847535,
5299468330515,529946879941,
5299468671355,529946913278,
5299469000561,529946946162,
5299469330714,529946979486,
5299469671343,529947013248,
5299470000452,529947047409,
5299470330630,529947098790,
5299470671277,529947127997,
5299471000450,529947154572,
5299471330489,529947182525,
5299471671253,529947212174,
5299472000459,529947244869,
5299472330441,529947278079,
5299472671287,529947313119,
5299473000474,529947345474,
5299473330462,529947379143,
5299473671245,529947412915,
5299474000435,529947445187,
5299474330562,529947479586,
5299474671342,529947515363,
5299475000602,529947545214,
5299475330451,529947581522,
5299475671387,529947613739,
5299476000466,529947646617,
5299476330454,529947680121,
5299476671264,529947712851,
5299477000554,529947746094,
5299477330451,529947779278,
5299477671267,529947814091,
5299478000506,529947846062,
5299478330464,529947878743,
5299478671255,529947912595,
5299479000621,529947945347,
5299479330600,529947978795,
